gene_symbol,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC
DHX8,3,2.0,0.18375875539325506,0.6666666666666666,-0.0556915321343172,0.2442447918465874,0.36272300646749506,0.8206172071942043,0.0019081839981701814,0.0073611901909277
EIF1,3,2.0,-0.07056369905109161,0.6666666666666666,-1.1604851785788148,0.3171153843295265,0.6316786970960135,0.0744095299430537,5.272913437616657e-06,1.2270813896273535e-06
EIF1B,3,2.0,0.21209625535435192,0.6666666666666666,-0.5626020796847063,0.4088342954612626,0.7900565502864995,0.3404764050815707,6.901785587094099e-05,1.5155513303152727e-07
EIF2AK1,3,2.0,-0.41085988859452444,0.6666666666666666,-1.631465085265922,0.05327422324066533,0.3456111962416834,4.963557406469245e-06,0.5715965929725889,0.008902100217410327
EIF2AK2,3,2.0,0.48600084182440334,0.6666666666666666,0.9982891366943348,-0.010308411819425937,0.4700218005983013,0.0043132616892125,0.9609178979547623,0.04966569778447279
EIF2AK3,3,2.0,0.2916935386963135,0.6666666666666666,1.2205972425997305,-0.35818195700016214,0.012665330489372156,1.2076561028989096e-06,0.0015226281966455493,0.9662163213179489
EIF2AK3-DT,3,2.0,0.3632825137111521,0.6666666666666666,2.430992254073856,-1.2329318148989923,-0.1082128980414074,4.103473134361499e-06,0.038858487828492085,0.8980778354987262
EIF2B4,3,2.0,0.23082310667927894,0.6666666666666666,-0.1779566017794195,0.41770806120033965,0.4527178606169166,0.6071006174848301,5.911177718484714e-06,0.0036890383891422557
EIF2S3,3,2.0,-0.18687487089680033,0.6666666666666666,-0.6773798064394962,0.21117641965542172,-0.09442122590632644,0.0008819421802532,0.003186970407895956,0.5217535856910861
EIF3A,3,2.0,0.2116707751814806,0.6666666666666666,-0.5737572167811188,0.464198563235683,0.7445709790898777,0.0588595911031518,1.3946012526618988e-09,1.5939781111548266e-09
EIF3D,3,2.0,-0.15377302838356569,0.6666666666666666,-1.019987120275798,0.06339157604467177,0.4952764590804292,8.137664757814566e-05,0.44811304231961424,0.00018722979519971534
EIF3J-DT,3,2.0,-0.3575315446225325,0.6666666666666666,0.6524200568884116,-0.6912888361165614,-1.0337258546394479,0.0775083667435324,4.276032209476377e-05,2.386452012509534e-05
EIF3K,3,2.0,-0.5695258138949748,0.6666666666666666,-2.269866339717014,0.10193504878673726,0.4593538492453522,2.7767078632752456e-17,0.25480623203533237,0.0010866138214175856
EIF4A1,3,2.0,1.236849056756422,0.6666666666666666,3.528223314647347,0.3093185019291856,-0.12699464630726603,2.047014451448555e-07,0.0057750298855989875,0.6973063937090166
EIF4A1P10,3,2.0,0.019026367404631223,0.6666666666666666,-2.0128390790582458,0.4948710870907762,1.5750470941813632,0.0001373898666155,0.065773113260425,7.389556170764204e-05
EIF4E,3,2.0,0.8866405674465764,0.6666666666666666,-0.0399051056484286,1.1045002975529197,1.5953265104352379,0.8915997454547744,1.1925776347077742e-30,4.834542081145367e-30
EIF4E2,3,2.0,0.37181200954325,0.6666666666666666,-0.1857835562245388,0.5450353967078951,0.7561841881463935,0.6370434501400484,1.2515311283361649e-12,5.157907816140058e-09
EIF4G1,3,2.0,0.7739709898080847,0.6666666666666666,-0.3601593595278601,1.1265387236874305,1.5555336052646838,0.4209480356278479,8.256992578980947e-40,5.602523680441123e-36
EIF4G2,3,2.0,0.7782629069069991,0.6666666666666666,-0.1727839475244643,1.0448021897173863,1.4627704785280753,0.5227570178487269,2.4286445777015846e-52,2.403438131871688e-36
EIF4G3,3,2.0,0.048658035817587465,0.6666666666666666,0.1173549215387246,0.4195737561504891,-0.3909545702364513,0.4610388150446036,4.638956983517859e-07,0.013574877339782533
RPL36AL,3,2.0,-0.1598949540609147,0.6666666666666666,-1.2877617732327509,0.12546132796336695,0.6826155830866398,0.0009955836752563,0.13596545897111875,8.88178649951977e-08
RPS6KA2,3,2.0,-0.459660960889809,0.6666666666666666,-1.9362830389745904,1.1481434264565291,-0.5908432701513658,5.351027029781954e-10,1.1325916885511914e-17,0.11308833335341097
RPS6KA5,3,2.0,-0.9667135147225766,0.6666666666666666,0.3718001823859373,-1.6101645691711974,-1.66177615738247,0.3157373968117901,1.6743176366057356e-09,1.5470785250867784e-06
RPS6KC1,3,2.0,0.35127084752427185,0.6666666666666666,-0.3206132879224272,0.6428927685070118,0.7315330619882309,0.2605436675398399,4.076111153623249e-14,3.718697358695247e-06
DDX1,2,2.0,0.9239048851627106,1.0,,0.6145676408645628,1.2332421294608584,,1.3888622045686812e-16,3.3624443325477072e-21
DDX10,2,2.0,0.9306821663467275,1.0,,0.7773743260585211,1.083990006634934,,4.846889791791962e-15,1.0558714186888417e-08
DDX11,2,2.0,-0.5218422960117893,1.0,,-0.4161411505756186,-0.62754344144796,,0.00010435240860654852,2.0961568969883284e-05
