gene_symbol,log2FoldChange,lfcSE,padj,context
TRAPPC6A,-4.269906487439273,0.924351903805836,2.0186494681562697e-05,GSE278320 VacV
MATK,-3.604858100197547,0.4304062343990698,1.5825201096959068e-15,GSE278320 VacV
SCN4A,-0.6214839090393312,1.7396003061042824,0.800714034503993,GSE278320 VacV
ST7L,0.7976653340226222,0.2028503317597896,0.000319321606094,GSE278320 VacV
PAX6,0.2653836712815637,0.3170187948290568,0.5155042948777825,GSE278320 VacV
RPUSD1,-2.3259525713943714,0.3882356450375341,2.051539925216245e-08,GSE278320 VacV
RHBDF1,3.435464842485831,0.4047310500987006,6.362298986240333e-16,GSE278320 VacV
LUC7L,0.5422932601284086,0.3192890994217517,0.1483724056069384,GSE278320 VacV
CACNA2D2,-1.771015270869433,0.2740475626011288,1.289200503621694e-09,GSE278320 VacV
BAIAP3,-2.6339478974017916,0.57972910252031,2.7892932856629755e-05,GSE278320 VacV
TSR3,-3.189439152142002,0.4253464515669733,1.2945039892986062e-12,GSE278320 VacV
PIGQ,-1.785681427392775,0.4974910817997861,0.0010791489191694,GSE278320 VacV
CRAMP1,1.6214132032801385,0.3356118616164452,7.86098871058766e-06,GSE278320 VacV
TEAD3,-0.1454541315586159,0.3726957483828479,0.780293367956195,GSE278320 VacV
DNAJC11,1.2003420999784649,0.2698324153806685,4.164707787431338e-05,GSE278320 VacV
MYLIP,0.247600985650802,0.3184143329988737,0.5495993720375916,GSE278320 VacV
NOX1,0.4421498340776176,0.8161587458546964,0.6893594986420845,GSE278320 VacV
E2F2,1.0169682136947122,0.2044332522026102,4.0208301033917165e-06,GSE278320 VacV
PSMB1,-1.1507617487778143,0.2438182135073832,1.29625493337818e-05,GSE278320 VacV
SYN1,0.5780532664899505,0.831765339573983,0.5981689429362423,GSE278320 VacV
JARID2,-0.5936112586652694,0.1991864902099044,0.0073417137913725,GSE278320 VacV
CDKL5,0.3934444988961292,0.2452603313494347,0.1754614881846771,GSE278320 VacV
CDK11A,3.4145358446727094,0.8264221993165458,0.0001503881174887,GSE278320 VacV
NADK,0.0062522860240945,0.1668159031196701,0.9806001438365222,GSE278320 VacV
DLEC1,-1.239578896369946,0.4763452321057222,0.0206396941477705,GSE278320 VacV
CYTH3,-0.9263916190608056,0.5810336858399442,0.1784889549262624,GSE278320 VacV
ADAM22,-0.55428154470308,0.2383856042289057,0.0407143825329002,GSE278320 VacV
SYPL1,-1.3351954119041978,0.2374498874911456,1.5480904416493457e-07,GSE278320 VacV
