gene,k,pooled_log2FC,p,Q,I2,tau2,pi_lo,pi_hi,direction_concordance,loso_direction_robust,class,meta_FDR
RPL7AP10,3,-0.34189871835903773,0.5263771656844327,2.7572218157530624,27.463217193000744,0.24966730107654345,-3.506320689895319,2.822523253177244,0.6666666666666666,False,III_context_dependent,0.7560964600254876
EIF6,4,0.25122434713117264,0.5367412535037628,64.99467112170652,95.3842369717014,0.606912018306155,-2.545526074278572,3.0479747685409175,0.75,False,III_context_dependent,0.7656456116156616
RPS3P6,2,0.6461139417637164,0.5419398037199881,0.9992026865517261,0.0,0.0,,,0.5,False,III_context_dependent,0.7707941489859067
DHX16,4,0.12004463027327338,0.5493959847983139,16.898474746340685,82.2469184643446,0.11829522981049342,-1.146967357356606,1.3870566179031527,0.5,False,III_context_dependent,0.7791141889683691
EIF3B,4,0.20641789498500657,0.5515318834108451,65.95520371664479,95.4514582156572,0.44209046959160003,-2.179899420706111,2.5927352106761243,0.75,False,III_context_dependent,0.7798628672135857
EIF1P5,2,0.49844496043653447,0.5721956583438069,0.38901412982788736,0.0,0.0,,,0.5,False,III_context_dependent,0.7849931986149186
EIF2B3,4,0.3331169045905214,0.5700612663639244,109.71189991719335,97.26556553822849,1.3196985606633842,-3.7717411373949825,4.437974946576025,0.75,False,III_context_dependent,0.7849931986149186
EIF5A,4,0.33802997972661786,0.5621331758453371,118.87194703503567,97.47627587935797,1.2951357343835264,-3.731500730764343,4.407560690217578,0.5,False,III_context_dependent,0.7849931986149186
RPL23AP49,2,-0.35035711774354467,0.5785536776702568,1.2692559710948028,21.21368559428992,0.21114291642926483,,,0.5,False,III_context_dependent,0.7849931986149186
RPL26,4,0.14289167116599577,0.580018703958035,27.87428305631637,89.23739134764868,0.2296596338737247,-1.5895424133573908,1.8753257556893823,0.75,False,III_context_dependent,0.7849931986149186
RPL34P34,2,-0.6881000693473882,0.5631332011041159,2.3358994318002906,57.18993778643567,1.6711428664904655,,,0.5,False,III_context_dependent,0.7849931986149186
RPL39P36,3,0.4463067613190588,0.5824114737206822,3.83380682796605,47.83253070001286,0.9607820358480157,-5.029369698240728,5.921983220878845,0.6666666666666666,False,III_context_dependent,0.7849931986149186
RPL3L,2,1.3650058026645195,0.5741604338149986,16.000211049085912,93.75008243996176,11.074307289895033,,,0.5,False,III_context_dependent,0.7849931986149186
RPL7AP30,3,-0.36237273047393204,0.571526685130977,3.371980464400894,40.687675355339174,0.550394447409779,-4.57936308852481,3.8546176275769466,0.6666666666666666,True,III_context_dependent,0.7849931986149186
RPL7P19,2,1.9984279664015996,0.5749135408142392,10.73765223019204,90.68697720356217,23.039363121183396,,,0.5,False,III_context_dependent,0.7849931986149186
RPL7P50,3,-0.4448957016345946,0.5726575276336442,2.566990285790317,22.087745673558466,0.4153681241780505,-4.827048602250763,3.9372571989815732,0.6666666666666666,False,III_context_dependent,0.7849931986149186
RPS6KA2,4,-0.48604897077074644,0.5775638304677064,107.5474804092079,97.21053437180929,2.845921631052431,-6.530629537783365,5.558531596241871,0.75,False,III_context_dependent,0.7849931986149186
RPL21P89,2,-0.41464276081485407,0.5902303999028788,0.8293806684599077,0.0,0.0,,,0.5,False,III_context_dependent,0.7907782982124206
DDX60L,4,0.24879810069996283,0.5919086166265355,30.67440278823143,90.21985849011872,0.5829826112993405,-2.5947911115620137,3.0923873129619395,0.5,False,III_context_dependent,0.7908420910850404
EIF3CL,3,-0.270014719998066,0.5943309444284947,6.138404306544142,67.41824259005222,0.5083847616729111,-4.034372610247962,3.4943431702518297,0.6666666666666666,False,III_context_dependent,0.7918970001313733
EIF3I,4,-0.2625545016250112,0.6061589834498673,120.14939386771826,97.50310850231759,0.9612982827522761,-3.7786044598876094,3.2534954566375873,0.5,False,III_context_dependent,0.7947779040016275
