gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL35AP32,1,-2.954711671362241,1.5481900375064208,0.0,,,-1.9084941769301282,0.05632737507309399,0,1,1.0,-2.954711671362241,0.1067422138576961,,,,True
RPSAP1,1,3.575120611587457,1.8783534954730865,0.0,,,1.9033268339551916,0.05699791151582917,1,0,1.0,3.575120611587457,,,,,True
RPS27P29,1,-0.8755225237328594,0.4639996709705978,0.0,,,-1.886903328835202,0.059173329306038726,0,1,1.0,-0.8755225237328594,0.1114484344569411,,,,True
RPSAP19,1,-0.6961132797029349,0.3694432414893408,0.0,,,-1.8842225314413261,0.059534881059720296,0,1,1.0,-0.6961132797029349,0.1119982204116361,,,,True
RPL21P93,1,1.8084116302382895,0.9681993481360592,0.0,,,1.8678091797105372,0.06178867347572838,1,0,1.0,1.8084116302382895,0.1156449424962915,,,,True
RPSAP44,1,-4.353141226205571,2.3553724440106376,0.0,,,-1.8481753224527027,0.06457698414319399,0,1,1.0,,,-4.353141226205571,,,True
RPS26P21,1,2.4660679238240446,1.342783274708892,0.0,,,1.8365345847479926,0.06627863197601218,1,0,1.0,2.4660679238240446,0.122621334521284,,,,True
RPL13AP19,1,2.546056260811388,1.4078785547880268,0.0,,,1.8084345785029219,0.07053889027788199,1,0,1.0,2.546056260811388,0.1292677103917779,,,,True
RPL29P33,1,-1.911814050956119,1.0572661105766008,0.0,,,-1.8082619236830297,0.07056574498969653,0,1,1.0,-1.911814050956119,0.1293055889871676,,,,True
RPL21P132,1,2.8703630161651597,1.6037790074265057,0.0,,,1.789749711695672,0.07349415681405057,1,0,1.0,2.8703630161651597,,,,,True
RPL36AP54,1,4.3419767489513665,2.433246184146615,0.0,,,1.784437915588134,0.07435253466134477,1,0,1.0,4.3419767489513665,,,,,True
