gene,full_meta_log2FC,full_meta_p,removed_study,loo_meta_log2FC,loo_meta_p,loo_k,direction_preserved,full_meta_FDR,significance_preserved
RPS27AP11,-1.0324274352247815,0.2505916549695153,GSE284044,-1.0324274352247815,0.2505916549695153,2,True,0.5149870875432836,False
RPS27AP11,-1.0324274352247815,0.2505916549695153,GSE287860,-0.6547847091235574,0.6673609235243007,1,True,0.5149870875432836,False
RPS27AP11,-1.0324274352247815,0.2505916549695153,GSE288000,-1.0324274352247815,0.2505916549695153,2,True,0.5149870875432836,False
RPS27AP16,-0.8113929153778023,0.3768156973271174,GSE278320,-0.0344697284616013,0.8007605899491335,1,True,0.6367791400824109,False
RPS27AP16,-0.8113929153778023,0.3768156973271174,GSE284044,-0.8113929153778023,0.3768156973271174,2,True,0.6367791400824109,False
RPS27AP16,-0.8113929153778023,0.3768156973271174,GSE287860,-1.8963118737323543,0.01372372416989259,1,True,0.6367791400824109,True
RPS27AP16,-0.8113929153778023,0.3768156973271174,GSE288000,-0.8113929153778023,0.3768156973271174,2,True,0.6367791400824109,False
RPS27AP5,-0.30303963027883923,0.37102330941459494,GSE278320,0.10040387055683711,0.9055998019621087,2,False,0.6362716481061198,False
RPS27AP5,-0.30303963027883923,0.37102330941459494,GSE284044,-0.30303963027883923,0.37102330941459494,3,True,0.6362716481061198,False
RPS27AP5,-0.30303963027883923,0.37102330941459494,GSE287860,0.21067514334518694,0.8642928590581901,2,False,0.6362716481061198,False
RPS27AP5,-0.30303963027883923,0.37102330941459494,GSE288000,-0.40454887186592026,0.24428096641473862,2,True,0.6362716481061198,False
RPS27AP7,-0.076716457731226,0.9346082373822835,GSE278320,-0.076716457731226,0.9346082373822835,2,True,0.9616302130951409,False
RPS27AP7,-0.076716457731226,0.9346082373822835,GSE284044,-0.076716457731226,0.9346082373822835,2,True,0.9616302130951409,False
RPS27AP7,-0.076716457731226,0.9346082373822835,GSE287860,1.3119596099735524,0.3382437191609665,1,False,0.9616302130951409,False
RPS27AP7,-0.076716457731226,0.9346082373822835,GSE288000,-0.7062749075285912,0.22905545377809122,1,True,0.9616302130951409,False
RPS27L,-0.025643272393440292,0.7523066993527318,GSE278320,0.018165539174538003,0.7903810689439229,3,False,0.8876937554352133,False
RPS27L,-0.025643272393440292,0.7523066993527318,GSE284044,-0.04250000897452069,0.6839392432703073,3,True,0.8876937554352133,False
RPS27L,-0.025643272393440292,0.7523066993527318,GSE287860,-0.1333575882621432,0.2513568078944579,3,True,0.8876937554352133,False
RPS27L,-0.025643272393440292,0.7523066993527318,GSE288000,-0.09966882477415746,0.5633282043836583,3,True,0.8876937554352133,False
RPS27P29,-0.9136399538499153,0.04207085380505414,GSE278320,-0.8755225237328594,0.059173329306038726,1,True,0.17146524449959039,False
RPS27P29,-0.9136399538499153,0.04207085380505414,GSE284044,-0.9136399538499153,0.04207085380505414,2,True,0.17146524449959039,True
RPS27P29,-0.9136399538499153,0.04207085380505414,GSE287860,-1.4927872206675314,0.4091627939633822,1,True,0.17146524449959039,False
RPS27P29,-0.9136399538499153,0.04207085380505414,GSE288000,-0.9136399538499153,0.04207085380505414,2,True,0.17146524449959039,True
RPS28,-0.5956677907502363,0.0079111222558453,GSE278320,-0.2985049333727086,5.228073601328995e-05,3,True,0.0639482382347495,True
RPS28,-0.5956677907502363,0.0079111222558453,GSE284044,-0.6543098626488275,0.017190169581156257,3,True,0.0639482382347495,True
RPS28,-0.5956677907502363,0.0079111222558453,GSE287860,-0.8363201048074483,0.031893550180508774,3,True,0.0639482382347495,True
RPS28,-0.5956677907502363,0.0079111222558453,GSE288000,-0.7687272718573933,0.07364456783087975,3,True,0.0639482382347495,False
RPS28P4,-0.40716612494058624,0.24470817217752538,GSE278320,-0.35318125629777836,0.3370064624840281,2,True,0.5071942884876061,False
RPS28P4,-0.40716612494058624,0.24470817217752538,GSE284044,-0.40716612494058624,0.24470817217752538,3,True,0.5071942884876061,False
RPS28P4,-0.40716612494058624,0.24470817217752538,GSE287860,-0.4549857585513453,0.5593350883551791,2,True,0.5071942884876061,False
RPS28P4,-0.40716612494058624,0.24470817217752538,GSE288000,-0.4510942271787073,0.22326601344335073,2,True,0.5071942884876061,False
RPS28P7,-0.3491814829029911,0.14962543065317832,GSE278320,-0.2708834644229211,0.15400324799237375,2,True,0.37796007222287237,False
RPS28P7,-0.3491814829029911,0.14962543065317832,GSE284044,-0.3491814829029911,0.14962543065317832,3,True,0.37796007222287237,False
RPS28P7,-0.3491814829029911,0.14962543065317832,GSE287860,-0.49821017379227234,0.44699118821236117,2,True,0.37796007222287237,False
RPS28P7,-0.3491814829029911,0.14962543065317832,GSE288000,-0.6018440209580684,0.11972143810876601,2,True,0.37796007222287237,False
RPS29,-0.1056007279480391,0.39451002039532557,GSE278320,-0.10974483380270336,0.44490780145107667,3,True,0.6520277034262948,False
RPS29,-0.1056007279480391,0.39451002039532557,GSE284044,-0.032104441019851326,0.7628048110091117,3,True,0.6520277034262948,False
RPS29,-0.1056007279480391,0.39451002039532557,GSE287860,-0.148919226542546,0.5349680003490704,3,True,0.6520277034262948,False
RPS29,-0.1056007279480391,0.39451002039532557,GSE288000,-0.18451071519613743,0.046127520527074535,3,True,0.6520277034262948,True
RPS29P16,-0.07370685546490363,0.9362442506494089,GSE278320,-0.8048449510884693,0.25002483940220166,2,True,0.9616302130951409,False
RPS29P16,-0.07370685546490363,0.9362442506494089,GSE284044,-0.07370685546490363,0.9362442506494089,3,True,0.9616302130951409,False
RPS29P16,-0.07370685546490363,0.9362442506494089,GSE287860,-0.14808704189868468,0.9331851387761536,2,True,0.9616302130951409,False
RPS29P16,-0.07370685546490363,0.9362442506494089,GSE288000,0.49352942450282744,0.5852311232950076,2,False,0.9616302130951409,False
RPS29P5,0.2972232881938618,0.6091048068020892,GSE278320,-0.0963546755370316,0.885514700008231,1,False,0.7947779040016275,False
RPS29P5,0.2972232881938618,0.6091048068020892,GSE284044,0.2972232881938618,0.6091048068020892,2,True,0.7947779040016275,False
RPS29P5,0.2972232881938618,0.6091048068020892,GSE287860,1.1556346951678886,0.2547932602248306,1,True,0.7947779040016275,False
RPS29P5,0.2972232881938618,0.6091048068020892,GSE288000,0.2972232881938618,0.6091048068020892,2,True,0.7947779040016275,False
RPS2P16,2.4429208326870135,0.010739871468990215,GSE278320,2.4429208326870135,0.010739871468990215,2,True,0.07549040090522106,True
RPS2P16,2.4429208326870135,0.010739871468990215,GSE284044,2.4429208326870135,0.010739871468990215,2,True,0.07549040090522106,True
RPS2P16,2.4429208326870135,0.010739871468990215,GSE287860,2.1310159404489224,0.12928662078285152,1,True,0.07549040090522106,False
RPS2P16,2.4429208326870135,0.010739871468990215,GSE288000,2.713643009203228,0.038137256128364085,1,True,0.07549040090522106,True
RPS2P17,-0.40919742637677314,0.3990016535348385,GSE278320,-0.28688118425868475,0.626938407372027,2,True,0.6522268060885305,False
RPS2P17,-0.40919742637677314,0.3990016535348385,GSE284044,-0.40919742637677314,0.3990016535348385,3,True,0.6522268060885305,False
RPS2P17,-0.40919742637677314,0.3990016535348385,GSE287860,-0.362535129202075,0.5763646844666958,2,True,0.6522268060885305,False
RPS2P17,-0.40919742637677314,0.3990016535348385,GSE288000,-0.5512793341994281,0.32022484922260974,2,True,0.6522268060885305,False
RPS2P32,0.6251046721622674,0.035945717554001375,GSE278320,0.490373856476155,0.1409659955860066,2,True,0.15485503514664364,False
RPS2P32,0.6251046721622674,0.035945717554001375,GSE284044,0.6251046721622674,0.035945717554001375,3,True,0.15485503514664364,True
RPS2P32,0.6251046721622674,0.035945717554001375,GSE287860,0.6651980181085259,0.25007793073064166,2,True,0.15485503514664364,False
RPS2P32,0.6251046721622674,0.035945717554001375,GSE288000,0.7260985895705867,0.023734000938288275,2,True,0.15485503514664364,True
RPS2P35,-0.8043772705040696,0.22695150458779434,GSE278320,-0.9919724960494728,0.17431220943848502,1,True,0.4935940794846648,False
RPS2P35,-0.8043772705040696,0.22695150458779434,GSE284044,-0.8043772705040696,0.22695150458779434,2,True,0.4935940794846648,False
RPS2P35,-0.8043772705040696,0.22695150458779434,GSE287860,0.1194595840336145,0.9412329483897067,1,False,0.4935940794846648,False
RPS2P35,-0.8043772705040696,0.22695150458779434,GSE288000,-0.8043772705040696,0.22695150458779434,2,True,0.4935940794846648,False
RPS2P36,1.4247303334523886,0.0017539499804293112,GSE278320,1.4247303334523886,0.0017539499804293112,2,True,0.022990965959681513,True
RPS2P36,1.4247303334523886,0.0017539499804293112,GSE284044,1.4247303334523886,0.0017539499804293112,2,True,0.022990965959681513,True
RPS2P36,1.4247303334523886,0.0017539499804293112,GSE287860,1.082586771475963,0.13981431531027175,1,True,0.022990965959681513,False
RPS2P36,1.4247303334523886,0.0017539499804293112,GSE288000,1.6394974159607296,0.00476867556623658,1,True,0.022990965959681513,True
RPS2P46,-0.31486605021498154,0.0959781111413976,GSE278320,-0.23554244242833097,0.011649500296815454,2,True,0.28575436148381556,True
RPS2P46,-0.31486605021498154,0.0959781111413976,GSE284044,-0.31486605021498154,0.0959781111413976,3,True,0.28575436148381556,False
RPS2P46,-0.31486605021498154,0.0959781111413976,GSE287860,-0.8503248461033049,0.29527303015724227,2,True,0.28575436148381556,False
RPS2P46,-0.31486605021498154,0.0959781111413976,GSE288000,-0.8684492123916068,0.2632531707599399,2,True,0.28575436148381556,False
RPS2P48,-0.7638452393736666,0.43871980482496664,GSE278320,-2.011946371846684,0.23015892277094951,1,True,0.6886055189000285,False
RPS2P48,-0.7638452393736666,0.43871980482496664,GSE284044,-0.7638452393736666,0.43871980482496664,2,True,0.6886055189000285,False
RPS2P48,-0.7638452393736666,0.43871980482496664,GSE287860,-0.1031962891301722,0.9325825228884548,1,True,0.6886055189000285,False
RPS2P48,-0.7638452393736666,0.43871980482496664,GSE288000,-0.7638452393736666,0.43871980482496664,2,True,0.6886055189000285,False
RPS2P5,-0.4567706895690567,0.05413998646252249,GSE278320,-0.26308712967252634,9.707133023402171e-05,2,True,0.20198379564864158,True
RPS2P5,-0.4567706895690567,0.05413998646252249,GSE284044,-0.4567706895690567,0.05413998646252249,3,True,0.20198379564864158,False
RPS2P5,-0.4567706895690567,0.05413998646252249,GSE287860,-1.0218659384980364,0.2710253956273728,2,True,0.20198379564864158,False
RPS2P5,-0.4567706895690567,0.05413998646252249,GSE288000,-1.064647182844672,0.22261856063167051,2,True,0.20198379564864158,False
RPS2P55,-0.3219028521138748,0.04302830366914852,GSE278320,-0.3078101986857172,0.056717805418884486,2,True,0.17246882049204157,False
RPS2P55,-0.3219028521138748,0.04302830366914852,GSE284044,-0.3219028521138748,0.04302830366914852,3,True,0.17246882049204157,True
RPS2P55,-0.3219028521138748,0.04302830366914852,GSE287860,-0.3204026307645215,0.14780287637115103,2,True,0.17246882049204157,False
RPS2P55,-0.3219028521138748,0.04302830366914852,GSE288000,-0.35001851040419873,0.11481597905957093,2,True,0.17246882049204157,False
RPS2P7,-0.47026543690836065,0.35270875626624953,GSE278320,-0.1291925080126401,0.6926953628486155,2,True,0.6289108337835699,False
RPS2P7,-0.47026543690836065,0.35270875626624953,GSE284044,-0.47026543690836065,0.35270875626624953,3,True,0.6289108337835699,False
RPS2P7,-0.47026543690836065,0.35270875626624953,GSE287860,-0.7630196946851564,0.4954342736972308,2,True,0.6289108337835699,False
RPS2P7,-0.47026543690836065,0.35270875626624953,GSE288000,-0.9690811568069371,0.23328080985298916,2,True,0.6289108337835699,False
RPS3,-0.5585235215597345,0.02532190286808486,GSE278320,-0.16863253541280537,0.01374231742492011,3,True,0.12320220357804745,True
RPS3,-0.5585235215597345,0.02532190286808486,GSE284044,-0.6121443068076419,0.03656100718725782,3,True,0.12320220357804745,True
RPS3,-0.5585235215597345,0.02532190286808486,GSE287860,-0.8345501006920764,0.08517733979153079,3,True,0.12320220357804745,False
RPS3,-0.5585235215597345,0.02532190286808486,GSE288000,-0.7630287123181555,0.16059889843600872,3,True,0.12320220357804745,False
RPS3A,-0.4704559536099072,0.01510647525724633,GSE278320,-0.34186261606373786,0.02585223539194699,2,True,0.09393128845851885,True
