gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,meta_FDR,is_translation_factor
RPSA,2,-1.0848777976776944,0.759788796092024,1.0681721855365498,13.20007830757815,92.4242873663416,-1.427867590648568,0.15332997358041836,0,2,1.0,-1.8692242847560416,8.217664914317381e-07,-0.348877797451642,0.913905422179663,0.5218997320350219,True
RPS4X,2,-1.2346036743502615,0.8714075588481036,1.3040682443251306,7.028730667379477,85.77268005671314,-1.4167924776579397,0.15654360965914246,0,2,1.0,-2.0775528781919763,2.2068275440005685e-06,-0.333776993268066,0.999899862550801,0.5237594776937475,True
RPL15,2,-0.993364054772779,0.7083797819623675,0.8872962551924376,8.534402379904586,88.28271792815117,-1.4023043571640943,0.16082437985152098,0,2,1.0,-1.7292620577997755,5.5970225573868234e-05,-0.311473475604238,0.999899862550801,0.5264964753429695,True
RPL30,2,-0.5864954490955138,0.41870367978735984,0.2899840034657824,5.565692579535022,82.03278413764737,-1.4007410906762692,0.16129151031618705,0,2,1.0,-1.0448061534562243,0.0021385322566802,-0.203975970934914,0.999899862550801,0.5271701726591445,True
RPS6KA1,2,-1.1430465057105144,0.8281934961892234,1.2862503536446648,15.925247493390348,93.72066273748622,-1.3801684159197432,0.16753479617106737,0,2,1.0,-1.9890472666192243,4.361470957115947e-08,-0.332285453446941,0.977556066663073,0.5311894404027564,True
RPS27A,2,-0.963524544113309,0.7047127168781709,0.8722307529330545,7.95743271391248,87.433132821197,-1.3672586304127683,0.17154425379311633,0,2,1.0,-1.716458379337338,0.0003288249644376,-0.303944657944363,0.999899862550801,0.5348274352545304,True
RPLP2,2,-0.916642668577146,0.6734359944633405,0.7808980152803947,6.50847074515887,84.63540762253837,-1.361142968468171,0.17346851304832678,0,2,1.0,-1.6842557000260725,0.0028636325963215,-0.325829302911918,0.562697872521285,0.5361311065944584,True
RPL36,2,-1.0318807643980494,0.7635111609664319,1.0727827887055439,12.351930962600548,91.90409982837645,-1.3514940149557506,0.1765372358331716,0,2,1.0,-1.8221747584760204,4.223404624552232e-06,-0.294244774135425,0.999899862550801,0.5372746940465708,True
RPS5,2,-1.265407925375091,0.9424200266292366,1.6451213493568662,13.539063112787188,92.6139645581862,-1.3427218115271684,0.1793620693069392,0,2,1.0,-2.205590233352372,6.600777777693577e-09,-0.320744854121773,0.999899862550801,0.5390660851308382,True
RPL8,2,-1.2562789513037702,0.9396268954081017,1.634152745610973,12.942523339621347,92.27353141455292,-1.3369976502834555,0.18122340382789381,0,2,1.0,-2.2482275495588206,1.681504389118441e-05,-0.3662139780507351,0.793158401068445,0.5403001083603116,True
EIF3G,2,-0.324499629735226,0.24377240586002846,0.0031150419835355363,1.0264311020402106,2.575048825749159,-1.3311581702219006,0.18313697186622957,0,2,1.0,-0.5378773532102249,0.1518136754529076,-0.046002957772423,0.999899862550801,0.5417176511041567,True
EIF3I,2,-1.3041337420126258,0.9864369365827671,1.7922657260144288,12.342656363199126,91.89801635422987,-1.322064993359261,0.18614650950287037,0,2,1.0,-2.246011246805568,2.1701060504477152e-16,-0.271029304436418,0.999899862550801,0.5431367416859306,True
EIF2AK3,2,0.6908641708395208,0.5248269814244682,0.5014639339085011,11.136629314866727,91.0206223828869,1.316365574354428,0.18805137120275273,2,0,1.0,1.2205972425997305,1.2076561028989096e-06,0.170897842296224,0.999899862550801,0.5452761743475292,True
RPL35A,2,-0.7459997164368737,0.5717896747216941,0.5357486715150712,5.4734410061857925,81.7299574642377,-1.3046750394714148,0.19200352432856227,0,2,1.0,-1.3469937255922948,0.0017170171945096,-0.20199523862553,0.999899862550801,0.5478673959222005,True
RPL22,2,-1.1064126744710823,0.8569572471281348,1.3294487906780712,10.402147159779823,90.3866001447612,-1.2910943669347932,0.1966709571387507,0,2,1.0,-1.9316100662101734,5.765142956390665e-10,-0.21647321179567897,0.999899862550801,0.5498128035780006,True
RPS19BP1,2,-0.5756694916824358,0.44682501505988903,0.26729975936708283,2.857222855809085,65.00097995622298,-1.2883555581714183,0.19762222145798392,0,2,1.0,-0.9519163617819023,0.0014491926028122,-0.0450269536315838,0.999899862550801,0.5498128035780006,True
RPL13A,2,-1.010642974309478,0.7869896435935161,1.1105061534863208,9.253132150386389,89.19284860793604,-1.2841884039219706,0.19907604161781445,0,2,1.0,-1.856025140073757,0.0003273673348341,-0.278012544894735,0.999899862550801,0.5498128035780006,True
EIF2AK2,2,0.5367135841291295,0.4221262075613402,0.2914535983683296,5.300016781553993,81.1321352136022,1.271452884268358,0.20356757896833833,2,0,1.0,0.9982891366943348,0.0043132616892125,0.150665115747678,0.999899862550801,0.5500320169208117,True
RPS6,2,-0.6039092728207288,0.47970471637762085,0.3996315133429384,7.156239300573423,86.02617998087528,-1.2589187727421358,0.20805967241145384,0,2,1.0,-1.132295559347832,0.0019011006521618,-0.168400969932308,0.999899862550801,0.5514993900998304,True
