gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL22P2,3,-1.1837186004922868,0.3716840968718382,0.0,1.3873767874450822,0.0,-3.1847437392524474,0.0014488224393258945,0,3,1.0,-1.5947464818041108,0.3551560817371851,,,-1.3647885756109337,0.0039891186608663,-0.2461760302703693,0.844298604626901,0.011231818621741321,True
DHX57,4,0.4541885525395066,0.14274425197365537,0.054189542352991935,9.644364333647962,68.89375083505108,3.181834268348198,0.0014634553617650721,4,0,1.0,1.0027515035896104,6.084574550273562e-05,0.20152939260138,0.999899862550801,0.2887044594540163,0.0061939198597572,0.4859712512516553,0.0071142104129907,0.011333282567588835,True
RPL39P38,2,2.3143475283920334,0.7346483065774423,0.0,0.2659993367869256,0.0,3.150279538755145,0.0016311431062363416,2,0,1.0,2.1643958906527687,0.0143674004288418,,,3.2717362435931556,,,,0.012371760301122036,True
RPL23AP53,2,0.6059820961373216,0.19300384413756436,0.0,0.2975923983569437,0.0,3.1397410701592303,0.0016909722202864067,2,0,1.0,0.2637479025737415,0.7735228777126061,,,0.6383735433916337,0.0043182029561829,,,0.012732332396949547,True
DDX20,4,0.598950519580907,0.1911612635784526,0.11817292513319093,17.879378628480318,83.2208933971494,3.133221178646884,0.0017289910058324429,4,0,1.0,1.193139822971212,2.8587534842124836e-08,0.0794824432117864,0.999899862550801,0.4349528146603659,3.460908024175758e-06,0.7081450330081106,4.084661476628401e-05,0.012978636782867065,True
RPL15P3,3,-0.4812028738134505,0.1537350861816558,0.009951511099258212,2.2005391930347167,9.113184335433596,-3.130078408027518,0.0017475965034995408,0,3,1.0,-1.360066008877219,0.0778020340477436,,,-0.3878279668095269,0.0223446465574635,-0.5869009230741276,0.111748808188198,0.013082602532490271,True
RPS2P36,2,1.4247303334523886,0.4553291010760373,0.0,0.3544257557826137,0.0,3.1290122464947987,0.0017539499804293112,2,0,1.0,,,,,1.6394974159607296,0.0119279649901581,1.082586771475963,0.2209178641961923,0.013107872706033516,True
RPL10,4,-0.5060943583330317,0.1643738235128336,0.07512192841591321,16.482551890870305,81.79893489877801,-3.07892307617653,0.00207750316236488,0,4,1.0,-2.4499401794467626,2.4227543679100055e-05,-0.33001120751582896,0.513976225445817,-0.2924112971708279,0.000273637047315,-0.4285656130721941,0.0005154629096392,0.015080398120213933,True
DDX5,4,0.7756969937000852,0.25394953911597745,0.20987546493061068,26.94320921470309,88.86546893469959,3.0545320003350285,0.002254119655844432,4,0,1.0,2.0883950759151233,5.452381012166489e-10,0.514860779886955,0.864215730862928,0.4670073197346874,2.126467321122577e-09,0.3298224377201953,0.0351120441329072,0.01609698880774825,True
RPL15,4,-0.5285724053062304,0.17340146543703253,0.0794831273432802,14.424517437990072,79.2020772071109,-3.0482580062056712,0.002301722142400079,0,4,1.0,-1.7292620577997755,5.5970225573868234e-05,-0.311473475604238,0.999899862550801,-0.2760318607718269,9.603980123035392e-05,-0.4619699868278749,0.0002178740267497,0.01634675786772615,True
EIF5,4,0.7871021168853152,0.26243624260947496,0.23142719225094366,30.01093285336407,90.00364295685759,2.999212719474051,0.002706782525647215,4,0,1.0,1.4226433594061156,7.542177627895458e-05,0.305938167826428,0.999899862550801,0.3925056974382421,3.3191876992298867e-06,1.1428057457997534,1.0356499575701765e-15,0.018612800181686585,True
RPS16,4,-0.3118119144943141,0.10546729851919556,0.014375206850796395,4.426900057828939,32.23248863062714,-2.956479580612021,0.003111728347680363,0,4,1.0,-0.7987353964116787,0.0723574228926029,-0.202077612117243,0.999899862550801,-0.183805460693195,0.0623365982919217,-0.4382148131637129,0.0042266902047269,0.02077331192302052,True
RPL11,4,-0.41217864154337,0.13999106674934078,0.04313863504004669,8.832995601924758,66.03643729488235,-2.9443210278652363,0.003236640818512021,0,4,1.0,-1.6220877706998853,0.0008897880377771,-0.21170543396231503,0.999899862550801,-0.2980777014238055,0.0005534288501542,-0.3575281603939464,0.0036199015726331,0.02146285862447456,True
DDX28,4,0.4973152069616363,0.17000427437776167,0.06409368993646493,7.554364430724867,60.28785707241635,2.925310018126758,0.0034411321862116537,4,0,1.0,0.9292950980003432,0.0032516416433188,0.285396341152057,,0.2246831623513952,0.1047173524906849,0.6337229841404789,0.0008807918523442,0.02254043996617032,True
RPS7P3,2,2.4838101686565213,0.8556511834548082,0.0,0.46914851774862326,0.0,2.9028302849156353,0.003698069822716693,2,0,1.0,2.821588691362106,0.0103957819953589,,,1.4669252010435374,,,,0.02389630614450138,True
RPL13A,4,-0.5153588618947951,0.1795492691274928,0.08682534689184276,13.460474493364563,77.71252416488831,-2.8702921732800455,0.004100926775271322,0,4,1.0,-1.856025140073757,0.0003273673348341,-0.278012544894735,0.999899862550801,-0.2633183074820366,0.000898958407341,-0.5376119217999834,0.0004516538718363,0.02599576537930488,True
RPS4XP16,2,-1.1303069195547533,0.3972056498163819,0.0,0.21153918350638906,0.0,-2.845646631857491,0.004432134842668204,0,2,1.0,-0.4282891879250743,0.850377202720161,,,-1.1778484957761897,0.0104247789674044,,,0.027649335530692886,True
DHX9,4,0.5936549589434545,0.20869455109486118,0.14190282995933032,24.66906813123805,87.83902179020234,2.844611686452759,0.004446559411954493,4,0,1.0,0.0716318623289401,0.8267365971860828,0.15822054455412804,0.999899862550801,0.747391359042762,3.65538045679862e-29,1.1657969384099929,6.230134596767971e-20,0.027723605126829018,True
EIF4E3,4,-0.5836319266862955,0.20809674032919978,0.064907770922377,4.794151498559909,37.423754737388784,-2.8046183028288465,0.0050376196964298904,1,3,0.75,-0.9941325690522307,0.0090807944656578,0.220271822843443,0.999899862550801,-0.7148249967407868,3.413278668360479e-05,-0.0912514393639226,0.8594354939552625,0.030746803077849542,True
RPL4P6,2,1.6383807208272851,0.5870803485129437,0.2966117993741788,1.7444424681331974,42.6750942912928,2.790726558940787,0.005258988034752203,2,0,1.0,,,,,2.1744130802700607,0.0005556848902596,0.9953909282551185,0.2248095181101713,0.0318418342934969,True
