gene_symbol,direction,k_studies,pooled_log2FoldChange,I2,meta_FDR,is_translation_factor,evidence_rank
MIR503HG,up,3,2.954437206818894,94.00037026314178,3.10192698067628e-06,False,84
GPR35,up,3,1.815803376096233,68.90739992368611,3.809710939489053e-08,False,85
TLR5,down,4,-1.6657942273557345,71.04667166211854,4.9596771579143135e-09,False,85
PLCXD2,up,4,1.900986428297886,72.59289895357166,1.1228443629176333e-07,False,87
F10,up,3,1.904153956252577,0.0,1.391973735731111e-07,False,88
SH3BP1,up,3,1.1907684662764555,20.226599841612767,1.9664153520984512e-27,False,89
QPCT,up,3,2.4752266490740524,61.38196727974926,2.0152235734630603e-06,False,90
PCP4L1,down,3,-2.435628980683132,0.0,1.7533553114031896e-06,False,91
NATD1,down,4,-1.8049639226546177,85.4022936911615,8.99497236887752e-08,False,92
PLEK,up,3,1.4130001784950603,72.73631098827305,1.7909243985428777e-11,False,93
TAF13,up,4,1.231479763901861,52.40881191781585,6.409539367494917e-18,False,94
GABRA4,up,3,2.7154516128077435,0.0,6.2556979086077755e-06,False,95
LGALS2,down,3,-1.9750777222868572,0.0,5.633946039274158e-07,False,96
CDA,down,3,-3.3253557952135027,54.019362108066105,2.123744117149649e-05,False,97
LTBP2,up,4,1.645873868276678,76.03257549957983,2.9300181990998008e-08,False,98
OPRK1,up,3,2.612311312922792,0.0,7.787588003748441e-06,False,99
APBA1,down,4,-1.1703886998203017,0.0,9.895247283212932e-24,False,99
ANKRD22,up,3,1.1878597903547536,0.0,3.026868753299119e-18,False,101
TXLNB,up,3,1.4700150825936218,0.0,1.427436267216518e-09,False,102
ATAD3B,up,3,1.2049361284917166,54.04495964662837,2.821555776112621e-17,False,103
C11ORF96,up,3,1.5789133075941946,0.0,1.2738607480265e-08,False,104
ACE,down,3,-2.412066805279513,89.7458915283115,7.493835517458695e-06,False,105
NFAT5,up,4,1.4141787882497443,46.39206306568027,2.7596235580740303e-10,False,106
FRY,down,4,-1.750092704271104,58.54962861832105,2.1590764293254535e-07,False,106
MIR22HG,up,3,1.120975013346298,0.0,2.3239496351803298e-33,False,108
C17ORF113,down,3,-1.635715447508843,0.0,8.792302758025918e-08,False,109
CDKN1C,down,4,-1.8819864981244745,82.39826528005545,9.347005453869976e-07,False,110
NDRG2,down,4,-1.4973322520935808,71.80836460465162,1.1731081319261296e-08,False,111
MAFF,up,4,2.19233055945695,93.20201989151684,7.648337335767943e-06,False,112
BEND4,up,4,1.326081960215748,58.441213908281306,8.501964195343359e-11,False,113
CDH5,down,3,-2.654392917869606,17.29638901668932,3.548726750194169e-05,False,114
NUDT19-DT,up,3,1.3913565383144226,0.0,9.34390372038813e-10,False,115
RUFY4,down,3,-2.860579177576935,70.87297597838771,4.565542643812625e-05,False,116
C1QTNF6,down,4,-1.6413386748112528,69.60571393543513,1.839919872890626e-07,False,117
FUCA1,down,3,-2.02397984376283,93.97790478978632,4.778173124838898e-06,False,117
TRPC3,up,4,1.965060327728455,0.0,2.762911968932918e-06,False,117
KLHL24,down,4,-1.290060870674125,64.63623371327898,2.522932762008298e-11,False,120
HSD17B11,down,4,-1.247304513479474,56.080708906244695,4.29671691107556e-12,False,121
RASGEF1B,up,4,2.1435800286106517,90.79311301854152,1.042298895326218e-05,False,122
MFSD2A,up,4,2.3557369917659865,88.68807727684623,2.0469825009961938e-05,False,123
SGK1,up,4,2.839070055724884,97.78978192834256,5.9512899571356325e-05,False,124
PDCD4,down,4,-1.3197202603828713,77.59473000314757,2.3678983450536166e-10,False,125
MAILR,up,3,1.1588113010877694,0.0,1.4643739079837092e-16,False,125
FOXO4,down,4,-1.24643276549194,64.62357784502517,8.232500745380934e-12,False,127
CD48,up,3,1.6453896812560505,35.17562872083049,3.3257034345144965e-07,False,127
ARAP2,up,4,1.0719462798177914,0.0,2.2126665381100647e-41,False,127
ADORA2A-AS1,up,3,4.4870018404554255,93.89426577281968,0.0001290590479367,False,130
PCDHGA12,up,3,1.5542982385209358,60.287273708206435,1.173843617059089e-07,False,131
GLT1D1,down,3,-1.9364706324850505,73.26466492245004,5.025197096236053e-06,False,132
KCNH4,up,3,1.7865293678455307,0.0,1.5025319776946634e-06,False,133
CD81-AS1,down,3,-2.0848404834634495,0.0,1.188244124465661e-05,False,133
ZNF423,down,4,-1.293631923467608,0.0,1.1102380240308732e-10,False,135
ZNF749,up,3,1.107835354560065,0.0,9.68053178316654e-19,False,136
NOG,down,3,-1.3213593286635454,0.9118256160610816,1.6990291327932003e-09,False,137
