gene,mean_abs_enet_coef,enet_selection_freq,mean_perm_importance,mean_abs_enet_coef_norm,mean_perm_importance_norm,ml_importance_score
RPS28P4,0.016248816515199726,0.3333333333333333,0.0,0.060514896740702866,0.0,0.13128274335801207
RPL7L1,0.015926714128127597,0.3333333333333333,0.0,0.05931530213174348,0.0,0.13088287848835892
RPL15P20,0.013915360111176214,0.3333333333333333,0.0,0.05182448699877964,0.0,0.1283859401107043
RPL19P5,0.013890616458852903,0.3333333333333333,0.0,0.051732335083350456,0.0,0.12835522280556125
RPL3P6,0.013793513855737323,0.3333333333333333,0.0,0.05137069926850228,0.0,0.1282346775339452
RPL7P8,0.013714080320843753,0.3333333333333333,0.0,0.05107486774395174,0.0,0.1281360670257617
RPS14,0.013293861146457253,0.3333333333333333,0.0,0.04950986022954756,0.0,0.12761439785429363
EIF4HP1,0.01327319629981131,0.3333333333333333,0.0,0.049432898866867886,0.0,0.12758874406673373
DDX1,0.01313333712714338,0.3333333333333333,0.0,0.04891202626151089,0.0,0.12741511986494805
RPL14,0.01202433319968351,0.3333333333333333,0.0,0.04478180187916958,0.0,0.12603837840416762
RPL7P1,0.00991111435966147,0.3333333333333333,0.0,0.03691161516281292,0.0,0.12341498283204876
RPL23AP97,0.008683734483109475,0.3333333333333333,0.0,0.03234052739025537,0.0,0.1218912869078629
RPL15P18,0.007461097228417687,0.3333333333333333,0.0,0.027787102397745973,0.0,0.12037347857702642
EIF5AL1,0.006760043612623181,0.3333333333333333,0.0,0.02517619303522004,0.0,0.11950317545618445
DDX19A,0.006114648576817291,0.3333333333333333,0.0,0.02277257096759307,0.0,0.1187019681003088
DDX20,0.005956458386209929,0.3333333333333333,0.0,0.022183428795851404,0.0,0.1185055873763949
RPL4,0.00524268180850511,0.3333333333333333,0.0,0.01952513575307293,0.0,0.11761948969546875
DDX10,0.0045752113260684206,0.3333333333333333,0.0,0.01703929887477848,0.0,0.11679087740270393
DHX57,0.004129505892388506,0.3333333333333333,0.0,0.015379373779884352,0.0,0.11623756903773923
RPS4XP16,0.004108317515886677,0.3333333333333333,0.0,0.015300462653347112,0.0,0.11621126532889348
DDX47,0.0027953421344571925,0.3333333333333333,0.0,0.010410594547816744,0.0,0.11458130929371668
RPSAP12,0.00208513552654822,0.3333333333333333,0.0,0.007765597018182936,0.0,0.11369964345050541
DHX37,0.0017622155036490107,0.3333333333333333,0.0,0.006562957316825531,0.0,0.11329876355005296
EIF4BP3,0.0017410566036617306,0.3333333333333333,0.0,0.006484155968636304,0.0,0.11327249643398989
DDX39A,0.0007949214009667168,0.3333333333333333,0.0,0.0029604978585041544,0.0,0.11209794373061249
RPL7AP11,0.000694663689090656,0.3333333333333333,0.0,0.0025871115828967227,0.0,0.11197348163874334
RPL7P59,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P57,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP19,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P50,0.0,0.0,0.0,0.0,0.0,0.0
RPS11,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P47,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P44,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP5,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P26,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP52,0.0,0.0,0.0,0.0,0.0,0.0
RPS10P7,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P23,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P22,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P19,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P16,0.0,0.0,0.0,0.0,0.0,0.0
RPS11P5,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P15,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P10,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P6,0.0,0.0,0.0,0.0,0.0,0.0
RPS10P5,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P9,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P7,0.0,0.0,0.0,0.0,0.0,0.0
RPS10P2,0.0,0.0,0.0,0.0,0.0,0.0
RPS10,0.0,0.0,0.0,0.0,0.0,0.0
RPLP2,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1P6,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1,0.0,0.0,0.0,0.0,0.0,0.0
RPLP0P6,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP17,0.0,0.0,0.0,0.0,0.0,0.0
RPLP0P2,0.0,0.0,0.0,0.0,0.0,0.0
RPLP0,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP15,0.0,0.0,0.0,0.0,0.0,0.0
RPS10P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P32,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P29,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P28,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P21,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP54,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P18,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP18,0.0,0.0,0.0,0.0,0.0,0.0
RPL9,0.0,0.0,0.0,0.0,0.0,0.0
RPL8,0.0,0.0,0.0,0.0,0.0,0.0
RPS4XP14,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP56,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P36,0.0,0.0,0.0,0.0,0.0,0.0
RPL41P5,0.0,0.0,0.0,0.0,0.0,0.0
RPL41P2,0.0,0.0,0.0,0.0,0.0,0.0
RPL41P1,0.0,0.0,0.0,0.0,0.0,0.0
RPL41,0.0,0.0,0.0,0.0,0.0,0.0
RPL3P7,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP8,0.0,0.0,0.0,0.0,0.0,0.0
RPL3P4,0.0,0.0,0.0,0.0,0.0,0.0
RPL3P2,0.0,0.0,0.0,0.0,0.0,0.0
RPL3L,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P38,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL4P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P16,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P15,0.0,0.0,0.0,0.0,0.0,0.0
RPL39P14,0.0,0.0,0.0,0.0,0.0,0.0
RPL39L,0.0,0.0,0.0,0.0,0.0,0.0
RPL39,0.0,0.0,0.0,0.0,0.0,0.0
RPL38,0.0,0.0,0.0,0.0,0.0,0.0
RPL37P6,0.0,0.0,0.0,0.0,0.0,0.0
RPL37P23,0.0,0.0,0.0,0.0,0.0,0.0
RPL37P2,0.0,0.0,0.0,0.0,0.0,0.0
RPL37P12,0.0,0.0,0.0,0.0,0.0,0.0
RPL4P2,0.0,0.0,0.0,0.0,0.0,0.0
RPL4P4,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP66,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P9,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP65,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP6,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP31,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP30,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP10,0.0,0.0,0.0,0.0,0.0,0.0
RPL7A,0.0,0.0,0.0,0.0,0.0,0.0
RPL7,0.0,0.0,0.0,0.0,0.0,0.0
RPL6P27,0.0,0.0,0.0,0.0,0.0,0.0
RPL6P24,0.0,0.0,0.0,0.0,0.0,0.0
RPL6,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P4,0.0,0.0,0.0,0.0,0.0,0.0
RPL4P5,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P34,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P30,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P3,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P29,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P23,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP61,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP70,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P12,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P1,0.0,0.0,0.0,0.0,0.0,0.0
RPL5,0.0,0.0,0.0,0.0,0.0,0.0
RPL7AP50,0.0,0.0,0.0,0.0,0.0,0.0
RPS12P3,0.0,0.0,0.0,0.0,0.0,0.0
RPS12,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP11,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P32,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA2,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P17,0.0,0.0,0.0,0.0,0.0,0.0
RPS29P5,0.0,0.0,0.0,0.0,0.0,0.0
RPS29P16,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA2-IT1,0.0,0.0,0.0,0.0,0.0,0.0
RPS29,0.0,0.0,0.0,0.0,0.0,0.0
RPS28P7,0.0,0.0,0.0,0.0,0.0,0.0
RPS28P5,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA4,0.0,0.0,0.0,0.0,0.0,0.0
RPS28,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA5,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA6,0.0,0.0,0.0,0.0,0.0,0.0
RPS27AP5,0.0,0.0,0.0,0.0,0.0,0.0
RPS27AP16,0.0,0.0,0.0,0.0,0.0,0.0
RPS27AP11,0.0,0.0,0.0,0.0,0.0,0.0
RPS27AP1,0.0,0.0,0.0,0.0,0.0,0.0
RPS27A,0.0,0.0,0.0,0.0,0.0,0.0
RPS27,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P58,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KB1,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KB2,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P55,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KA1,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P35,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P46,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP24,0.0,0.0,0.0,0.0,0.0,0.0
RPS4X,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP7,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP6,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP5,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP49,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP47,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP44,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP38,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP26,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP25,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP21,0.0,0.0,0.0,0.0,0.0,0.0
RPS6,0.0,0.0,0.0,0.0,0.0,0.0
RPS3AP20,0.0,0.0,0.0,0.0,0.0,0.0
RPS4XP2,0.0,0.0,0.0,0.0,0.0,0.0
RPS3A,0.0,0.0,0.0,0.0,0.0,0.0
RPS4XP3,0.0,0.0,0.0,0.0,0.0,0.0
RPS3,0.0,0.0,0.0,0.0,0.0,0.0
RPS4XP6,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P55,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P5,0.0,0.0,0.0,0.0,0.0,0.0
RPS2P48,0.0,0.0,0.0,0.0,0.0,0.0
RPS5,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P47,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P41,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P39,0.0,0.0,0.0,0.0,0.0,0.0
RPS9,0.0,0.0,0.0,0.0,0.0,0.0
RPS2,0.0,0.0,0.0,0.0,0.0,0.0
RPS19P1,0.0,0.0,0.0,0.0,0.0,0.0
RPS19BP1,0.0,0.0,0.0,0.0,0.0,0.0
RPS19,0.0,0.0,0.0,0.0,0.0,0.0
RPS18P9,0.0,0.0,0.0,0.0,0.0,0.0
RPS18P12,0.0,0.0,0.0,0.0,0.0,0.0
RPS18,0.0,0.0,0.0,0.0,0.0,0.0
RPS7P4,0.0,0.0,0.0,0.0,0.0,0.0
RPS8,0.0,0.0,0.0,0.0,0.0,0.0
RPS16,0.0,0.0,0.0,0.0,0.0,0.0
RPS15AP38,0.0,0.0,0.0,0.0,0.0,0.0
RPS20P10,0.0,0.0,0.0,0.0,0.0,0.0
RPS9P1,0.0,0.0,0.0,0.0,0.0,0.0
RPS15AP12,0.0,0.0,0.0,0.0,0.0,0.0
RPS15AP11,0.0,0.0,0.0,0.0,0.0,0.0
RPS15AP1,0.0,0.0,0.0,0.0,0.0,0.0
RPS15A,0.0,0.0,0.0,0.0,0.0,0.0
RPS15,0.0,0.0,0.0,0.0,0.0,0.0
RPSA,0.0,0.0,0.0,0.0,0.0,0.0
RPS13P2,0.0,0.0,0.0,0.0,0.0,0.0
RPS13,0.0,0.0,0.0,0.0,0.0,0.0
RPS4XP1,0.0,0.0,0.0,0.0,0.0,0.0
RPS20,0.0,0.0,0.0,0.0,0.0,0.0
RPS20P14,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KB2-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RPS26,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KC1,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P3,0.0,0.0,0.0,0.0,0.0,0.0
RPS6KL1,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P28,0.0,0.0,0.0,0.0,0.0,0.0
RPS6P25,0.0,0.0,0.0,0.0,0.0,0.0
RPS7,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P15,0.0,0.0,0.0,0.0,0.0,0.0
RPS7P1,0.0,0.0,0.0,0.0,0.0,0.0
RPS7P10,0.0,0.0,0.0,0.0,0.0,0.0
