gene,module,meta_FDR,pooled_log2FC,k_studies,direction_concordance,het_class,loso_robust,ml_importance,degree_centrality,external_support_GSE185520,s_meta,s_concord,s_loso,s_ml,s_net,s_module,s_external,final_evidence_score,evidence_tier
RPS2,40S ribosomal,0.0672549697281576,-0.3953422638598963,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.0635162900202568,1.0,1.0,0.0,0.0,1.0,1.0,4.6587907250506415,Tier 3 (single-stream)
RPS3A,40S ribosomal,0.0719736623184809,-0.4704559536099072,3,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.06191996086582217,1.0,1.0,0.0,0.0,1.0,1.0,4.654799902164555,Tier 3 (single-stream)
EIF4EBP2,eIF4/initiation,0.249566651440721,-0.1562312384773493,4,0.5,III_context_dependent,True,0.2732315177958849,0.0,1.0,0.032647932475813185,0.5,1.0,0.40984727669382737,0.0,1.0,1.0,4.651314384577188,Tier 2 (corroborated)
RPL29,60S ribosomal,0.0768221852871879,-0.2944882054626176,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.060385218874681866,1.0,1.0,0.0,0.0,1.0,1.0,4.650963047186705,Tier 3 (single-stream)
RPL27A,60S ribosomal,0.0806013000535449,-0.3253457814448068,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.059254728276235055,1.0,1.0,0.0,0.0,1.0,1.0,4.6481368206905875,Tier 3 (single-stream)
RPL39,60S ribosomal,0.087844617357883,-0.2830949458581913,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.057228875567639635,1.0,1.0,0.0,0.0,1.0,1.0,4.643072188919099,Tier 3 (single-stream)
RPLP0,60S ribosomal,0.0889416719941672,-0.5565860990636843,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.056936697103655905,1.0,1.0,0.0,0.0,1.0,1.0,4.64234174275914,Tier 3 (single-stream)
RPL23A,60S ribosomal,0.0901740158754042,-0.3248392329675257,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.056612754483482366,1.0,1.0,0.0,0.0,1.0,1.0,4.641531886208706,Tier 3 (single-stream)
RPL23,60S ribosomal,0.0937689460111826,-0.451559659821124,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.05569246272573957,1.0,1.0,0.0,0.0,1.0,1.0,4.639231156814349,Tier 3 (single-stream)
RPLP1,60S ribosomal,0.0964635191112577,-0.2878795329892032,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.05502550649852388,1.0,1.0,0.0,0.0,1.0,1.0,4.637563766246309,Tier 3 (single-stream)
RPL18A,60S ribosomal,0.0998399553323129,-0.3065199664363464,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.054215597270576774,1.0,1.0,0.0,0.0,1.0,1.0,4.635538993176442,Tier 3 (single-stream)
RPS3,40S ribosomal,0.1046929554824374,-0.5585235215597345,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.0530982412447191,1.0,1.0,0.0,0.0,1.0,1.0,4.632745603111798,Tier 3 (single-stream)
RPS15,40S ribosomal,0.1049725833800823,-0.574137063636307,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.05303544746135889,1.0,1.0,0.0,0.0,1.0,1.0,4.632588618653397,Tier 3 (single-stream)
RPS19,40S ribosomal,0.106122260838477,-0.4092988044750373,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.05277901934980259,1.0,1.0,0.0,0.0,1.0,1.0,4.631947548374507,Tier 3 (single-stream)
RPS12,40S ribosomal,0.1133262199370326,-0.3932497068073269,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.05123284776260193,1.0,1.0,0.0,0.0,1.0,1.0,4.628082119406505,Tier 3 (single-stream)
RPL3,60S ribosomal,0.1189214306860096,-0.6565636869978069,3,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.050098327875678125,1.0,1.0,0.0,0.0,1.0,1.0,4.625245819689195,Tier 3 (single-stream)
RPL6,60S ribosomal,0.1197332848166891,-0.568072441286204,3,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.04993816103466076,1.0,1.0,0.0,0.0,1.0,1.0,4.624845402586652,Tier 3 (single-stream)
RPL13AP5,60S ribosomal,0.1234700633179984,-0.5295960387050174,3,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.049214683690848415,1.0,1.0,0.0,0.0,1.0,1.0,4.6230367092271205,Tier 3 (single-stream)
RPL12,60S ribosomal,0.131670461309781,-0.3266064950713536,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.047700885265708357,1.0,1.0,0.0,0.0,1.0,1.0,4.619252213164271,Tier 3 (single-stream)
RPLP2,60S ribosomal,0.1600300168518978,-0.2841865195538856,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.04310891374308065,1.0,1.0,0.0,0.0,1.0,1.0,4.607772284357702,Tier 3 (single-stream)
RPL9,60S ribosomal,0.1722577391374231,-0.2891818276559874,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.041375547541615515,1.0,1.0,0.0,0.0,1.0,1.0,4.603438868854039,Tier 3 (single-stream)
RPL27,60S ribosomal,0.1733471904840632,-0.2177276227473734,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.04122712758509829,1.0,1.0,0.0,0.0,1.0,1.0,4.603067818962746,Tier 3 (single-stream)
RPS24,40S ribosomal,0.1873962338513902,-0.2994465519453871,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03939257152537871,1.0,1.0,0.0,0.0,1.0,1.0,4.598481428813447,Tier 3 (single-stream)
RPS5,40S ribosomal,0.1982992689662542,-0.5719264112383978,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03806125443069501,1.0,1.0,0.0,0.0,1.0,1.0,4.595153136076737,Tier 3 (single-stream)
RPS7,40S ribosomal,0.2223720980465786,-0.2051923172456606,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03536400033347936,1.0,1.0,0.0,0.0,1.0,1.0,4.588410000833698,Tier 3 (single-stream)
DDX18,DHX/DDX helicase,0.2795012683071175,0.488213769714042,4,0.75,II_conserved_high_het,True,0.4627308308664274,0.0,0.0,0.029981139496732343,0.75,1.0,0.6940962462996412,0.0,1.0,0.0,4.5881453413411135,Tier 2 (corroborated)
RPS20,40S ribosomal,0.2239760462903487,-0.1150144472302967,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.035194807705501346,1.0,1.0,0.0,0.0,1.0,1.0,4.587987019263753,Tier 3 (single-stream)
RPL23P8,60S ribosomal,0.2307365672769706,-0.9750542526685462,2,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.034494743106468474,1.0,1.0,0.0,0.0,1.0,1.0,4.586236857766171,Tier 3 (single-stream)
RPL32,60S ribosomal,0.2356080847840998,-0.2984123567191152,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03400288932494331,1.0,1.0,0.0,0.0,1.0,1.0,4.585007223312358,Tier 3 (single-stream)
RPS27A,40S ribosomal,0.2390504246726131,-0.3119718608403626,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.033661426804033424,1.0,1.0,0.0,0.0,1.0,1.0,4.584153567010084,Tier 3 (single-stream)
RPL24,60S ribosomal,0.2527393116010148,-0.276509435795869,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03235054412902868,1.0,1.0,0.0,0.0,1.0,1.0,4.580876360322572,Tier 3 (single-stream)
RPS8,40S ribosomal,0.2530387592389526,-0.3221203134196231,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03232266855002975,1.0,1.0,0.0,0.0,1.0,1.0,4.580806671375075,Tier 3 (single-stream)
RPS6KA6,40S ribosomal,0.2696482791054562,-0.5772368206866375,2,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.03082600375286878,1.0,1.0,0.0,0.0,1.0,1.0,4.577065009382172,Tier 3 (single-stream)
RPL7P32,60S ribosomal,0.8111194897347387,-0.3232003745556044,2,1.0,II_conserved_high_het,True,0.3537770865574066,0.0,,0.004899892118086177,1.0,1.0,0.5306656298361099,0.0,1.0,0.0,4.573580989967435,Tier 2 (corroborated)
EIF5A2,other eIF,0.0010273613775739,1.2958054064350246,4,1.0,II_conserved_high_het,True,0.0,0.0,0.6666666666666666,0.1619547388107493,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,4.57155351369354,Tier 2 (corroborated)
RPL35A,60S ribosomal,0.3104481970512034,-0.2533542537772062,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.027509048105426346,1.0,1.0,0.0,0.0,1.0,1.0,4.568772620263566,Tier 3 (single-stream)
RPL41,60S ribosomal,0.3198431031831186,-0.1319669199843637,3,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.026807194962136023,1.0,1.0,0.0,0.0,1.0,1.0,4.56701798740534,Tier 3 (single-stream)
RPL21,60S ribosomal,0.4765801725811394,-0.1689270876409497,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.01741874334440134,1.0,1.0,0.0,0.0,1.0,1.0,4.543546858361003,Tier 3 (single-stream)
RPSAP58,40S ribosomal,0.562220373858739,-0.9430566835759786,2,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.0135283342045008,1.0,1.0,0.0,0.0,1.0,1.0,4.533820835511252,Tier 3 (single-stream)
DDX19A,DHX/DDX helicase,0.0032017595043015,0.4973858993622135,3,1.0,II_conserved_high_het,True,0.1186610116469125,0.0,0.3333333333333333,0.13519502920285262,1.0,1.0,0.17799151747036876,0.0,1.0,0.3333333333333333,4.527303941281202,Tier 1 (triangulated)
