gene_symbol,n_contexts,mean_log2fc,direction_consistency,n_positive_contexts,n_negative_contexts,pooled_log2fc_meta,meta_FDR,meta_k_studies,log2fc_GSE185520_D9muD10mu_18hr,log2fc_GSE185520_WT_18hr,log2fc_GSE185520_WT_6hr,log2fc_GSE278320_VacV,log2fc_GSE284044_6hpi,log2fc_GSE287860_M003,log2fc_GSE288000_NTC,meta_sig,evidence_score
RPS2,7,-0.9089807147768524,1.0,0,7,-0.3953422638598963,0.0672549697281576,4,-1.3337920208949687,-2.265562670623312,-0.05961429594729716,-1.9285841757717943,-0.275947245839019,-0.2648406491966529,-0.2345239451649223,False,6.6976711319299485
RPS12,7,-0.8729230924893961,1.0,0,7,-0.3932497068073269,0.1133262199370326,4,-1.2189196772912474,-2.4952374265764123,-0.12167180796938407,-1.6437415183623614,-0.335925947942359,-0.0861016665402781,-0.208863602743731,False,6.696624853403663
RPL12,7,-0.8349643989014739,1.0,0,7,-0.3266064950713536,0.131670461309781,4,-0.5575561137375757,-2.7472548576607454,-0.17577563230391394,-1.835396406785477,-0.156503327432759,-0.2219323376842237,-0.1503321167056223,False,6.663303247535676
RPL27A,7,-0.8901769149103883,1.0,0,7,-0.3253457814448068,0.0806013000535449,4,-1.4017748459701296,-2.5230675459986225,-0.12344167979523032,-1.3206868487156764,-0.491111919249807,-0.1377522478575971,-0.2334033167856543,False,6.662672890722403
RPL23A,7,-0.9726592958400122,1.0,0,7,-0.3248392329675257,0.0901740158754042,4,-2.0176297379864914,-2.5740442706442823,-0.21810493444864315,-1.201547400684184,-0.292205273196037,-0.1537697010097653,-0.3513137529106813,False,6.662419616483763
RPS8,7,-0.8912490046998364,1.0,0,7,-0.3221203134196231,0.2530387592389526,4,-1.0986631820237085,-2.719806815359573,-0.1819103004771656,-1.9092607974445437,-0.168276505859971,-0.1186324011658369,-0.042193030568055,False,6.661060156709811
RPS27A,7,-0.9477457198841501,1.0,0,7,-0.3119718608403626,0.2390504246726131,4,-1.4407718040329975,-2.9196916996991944,-0.10435310358717508,-1.716458379337338,-0.303944657944363,-0.0434642408565509,-0.1055361537314317,False,6.655985930420181
RPL18A,7,-0.9030181055610138,1.0,0,7,-0.3065199664363464,0.0998399553323129,4,-1.6657948953746404,-2.2661324363527715,-0.19592501111592064,-1.2858337356827527,-0.402672779196592,-0.1507795529476661,-0.3539883282567537,False,6.653259983218173
RPS24,7,-0.8984009689602531,1.0,0,7,-0.2994465519453871,0.1873962338513902,4,-1.670099327461814,-2.7804680950237293,-0.16865045962430844,-1.2726389693860718,-0.104626770678845,-0.1626323767017744,-0.1296907838452301,False,6.649723275972693
RPL32,7,-0.8595592697420354,1.0,0,7,-0.2984123567191152,0.2356080847840998,4,-1.3710438022447986,-2.774441361466457,-0.14044501383504307,-1.2889702665868112,-0.27872718802589,-0.1072781343514034,-0.056009121683844,False,6.649206178359558
RPL29,7,-0.9377750815875835,1.0,0,7,-0.2944882054626176,0.0768221852871879,4,-1.5406937028020657,-2.57089835442911,-0.2264042066391157,-1.5263625766796216,-0.240192618543663,-0.1502321707370772,-0.3096419412824315,False,6.6472441027313085
RPL9,7,-0.7689263689214413,1.0,0,7,-0.2891818276559874,0.1722577391374231,4,-0.8383277825553108,-2.6013814000631346,-0.13736219011710896,-1.2712256060294695,-0.285223043459846,-0.0644544846100176,-0.184510075615202,False,6.644590913827994
RPLP1,7,-0.8433715980866873,1.0,0,7,-0.2878795329892032,0.0964635191112577,4,-1.2038849183953275,-2.732947554665526,-0.11123640775582876,-1.144039783126377,-0.342299864824498,-0.1060399655164139,-0.2631526923228395,False,6.643939766494602
RPLP2,7,-0.9527921890132526,1.0,0,7,-0.2841865195538856,0.1600300168518978,4,-1.9156970302882246,-2.3700800555311137,-0.11466897367675966,-1.6842557000260725,-0.325829302911918,-0.1087421409787116,-0.1502721196799676,False,6.642093259776943
RPL39,7,-0.8409970161358041,1.0,0,7,-0.2830949458581913,0.087844617357883,4,-1.545843329173764,-2.333724998784044,-0.14656389551849516,-0.9984209599756276,-0.540511623441304,-0.1207479373060324,-0.2011663687513606,False,6.641547472929096
RPL24,7,-0.937068638999084,1.0,0,7,-0.276509435795869,0.2527393116010148,4,-1.591174252461076,-3.0307953676601502,-0.206746153797311,-1.2248034063415,-0.395633369703339,-0.0528213565379721,-0.057506566492239,False,6.638254717897935
RPL35A,7,-0.8945462437381864,1.0,0,7,-0.2533542537772062,0.3104481970512034,4,-1.4861797408305797,-2.868273711365556,-0.21092860250902434,-1.3469937255922948,-0.20199523862553,-0.1199795270128193,-0.0274731602315004,False,6.6266771268886036
RPL37A,7,-0.8726869502922397,1.0,0,7,-0.2426083400774798,0.0658742833517678,4,-1.675526716264751,-2.359360569012688,-0.2370503353502039,-1.1851787623344978,-0.286313829705918,-0.1975735190202499,-0.1678049203573691,False,6.62130417003874
RPL27,7,-0.6890788804482915,1.0,0,7,-0.2177276227473734,0.1733471904840632,4,-0.8853727967801936,-2.486335960041651,-0.17743641862514353,-0.5648032474235871,-0.445197428905554,-0.0537707591546637,-0.2106355522072467,False,6.608863811373687
RPS7,7,-0.8151375115969071,1.0,0,7,-0.2051923172456606,0.2223720980465786,4,-1.111100047947657,-3.086673555137138,-0.18253876244974204,-0.811177024710131,-0.37300629822843,-0.1356751247646874,-0.005791767940566,False,6.602596158622831
RPL21,7,-0.9559740413501812,1.0,0,7,-0.1689270876409497,0.4765801725811394,4,-1.937951726912369,-3.1013683167200337,-0.23732422951057283,-1.2182808739483844,-0.136560926270215,-0.0549726433568482,-0.0053595727328448,False,6.584463543820475
RPS20,7,-0.6550462902409623,1.0,0,7,-0.1150144472302967,0.2239760462903487,4,-1.1091676717280383,-2.3368863854537847,-0.12229287526472521,-0.3970254568492106,-0.481429956754476,-0.094134462287773,-0.0443872233487274,False,6.557507223615148
RPS6KA5,7,-0.7456039012178067,0.8571428571428571,1,6,-0.759006306428231,0.3509355899837995,4,-0.34722241031758144,-1.4602755279806845,-0.3876507174913686,0.3718001823859373,-0.123938108567282,-1.6101645691711974,-1.66177615738247,False,6.450931724642687
RPL3,6,-0.9317290100379996,1.0,0,6,-0.6565636869978069,0.1189214306860096,3,-0.6967173681750106,-2.361696378068473,-0.026075232611565417,-2.2046986153829,,-0.1312717239689215,-0.1699147420211266,False,6.328281843498903
RPS6KA2,7,-1.0566758576653688,0.8571428571428571,1,6,-0.4860489707707464,0.7768978330744255,4,-2.488397776870449,-2.7466141991325674,-0.153224819858665,-1.9362830389745904,-0.629511325126473,1.1481434264565291,-0.5908432701513658,False,6.314453056813944
EIF3E,7,-0.801058695122055,0.8571428571428571,1,6,-0.4582575068858202,0.0777819038241465,4,-0.6028296265804324,-3.0290979862312186,-0.07420353825334622,-1.2271808517746154,0.0344611197312511,-0.3950378581582014,-0.3135221245878218,False,6.300557324871481
RPL6,6,-1.1728674165649677,1.0,0,6,-0.568072441286204,0.1197332848166891,3,-1.6586557899812955,-3.01750016055105,-0.16886093538621252,-1.863662606809818,,-0.1789152801685728,-0.1496097264928568,False,6.284036220643102
