gene,program,direction,pooled_log2FC,meta_FDR,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,community,hub_score
SCPEP1,other,down,-0.667,1.1783436332932208e-13,26,0.1145,0.0017,0.0265,1,0.42105263157894735
TDG,other,up,0.676,5.984488624119967e-23,1,0.0044,0.0,0.0006,0,0.41885964912280704
PYROXD1,other,up,0.922,4.205302447797058e-16,14,0.0617,0.0009,0.0128,0,0.4078947368421053
MICAL3,other,up,0.872,3.716518233997284e-15,18,0.0793,0.0025,0.0081,0,0.4057017543859649
PDCD4,other,down,-1.32,2.3678983450536166e-10,66,0.2907,0.0007,0.099,1,0.3991228070175439
HSD17B11,other,down,-1.247,4.2967169110755596e-12,35,0.1542,0.0007,0.0461,1,0.3991228070175439
HMGN2,other,down,-0.576,2.107472650039843e-11,46,0.2026,0.0027,0.0611,1,0.3969298245614035
FKTN,other,up,0.887,1.4055482716216014e-19,5,0.022,0.0008,0.0005,0,0.39692982456140347
KRR1,other,up,0.552,9.932586829191762e-13,27,0.1189,0.0136,0.0276,0,0.39473684210526316
GLS,other,up,0.587,1.7739686029785054e-15,16,0.0705,0.003,0.0076,0,0.39473684210526316
RRN3,other,up,0.694,8.759074295960426e-16,13,0.0573,0.0008,0.0092,0,0.3925438596491228
HMGB1,other,down,-0.578,4.809357242802524e-11,53,0.2335,0.0048,0.0656,1,0.39035087719298245
INO80,other,up,0.583,1.0047415291398514e-17,7,0.0308,0.0015,0.0004,0,0.38815789473684215
GTSE1,other,down,-0.96,3.254338165578665e-11,40,0.1762,0.0013,0.0626,1,0.3706140350877193
SEPTIN1,other,down,-0.989,1.5485701365422118e-15,9,0.0396,0.0001,0.0135,1,0.3662280701754386
GOLGA3,other,up,0.712,4.711580418828738e-13,23,0.1013,0.0034,0.008,0,0.3651315789473684
IFT172,other,down,-0.676,2.8527935245779585e-11,39,0.1718,0.0039,0.0566,1,0.36293859649122806
IPPK,other,up,0.829,6.344120890336605e-12,30,0.1322,0.011,0.0279,0,0.3618421052631579
MBNL1,other,up,0.856,4.6283975188476645e-11,42,0.185,0.0034,0.0579,0,0.35964912280701755
ANKLE2,other,up,0.501,5.257555578363364e-15,12,0.0529,0.006,0.0033,0,0.35964912280701755
SRSF2,other,up,0.626,3.4486368225095792e-18,2,0.0088,0.0,0.0001,0,0.3574561403508772
AKIP1,other,down,-0.549,6.93839156569097e-11,48,0.2115,0.0051,0.0583,1,0.35635964912280704
RINL,other,down,-0.667,1.2140179790520748e-12,20,0.0881,0.0004,0.0254,1,0.3486842105263158
ZER1,other,down,-0.535,8.971628149002912e-11,48,0.2115,0.001,0.0677,1,0.3464912280701754
TIMM44,other,up,0.66,7.877616602719402e-18,2,0.0088,0.0,0.0001,0,0.3464912280701754
C16ORF91,other,up,0.846,4.027492266872551e-14,14,0.0617,0.003,0.0091,0,0.3442982456140351
UMPS,other,up,0.594,6.347036049900248e-16,6,0.0264,0.0007,0.0031,0,0.3442982456140351
EIF2B5,Translation initiation (eIF),up,0.517,8.656391611664414e-13,21,0.0925,0.0086,0.0125,0,0.3399122807017544
AAR2,other,up,0.535,8.836476336671471e-15,10,0.0441,0.003,0.0053,0,0.3399122807017544
REPS1,other,up,0.594,8.552859152033543e-12,24,0.1057,0.0015,0.038,0,0.3333333333333333
RACGAP1,other,down,-0.601,8.58389747445336e-11,41,0.1806,0.0007,0.0563,1,0.32894736842105265
PPAN,other,up,0.911,8.787428369587455e-14,12,0.0529,0.0009,0.0099,0,0.32894736842105265
GHDC,other,down,-0.53,5.4384891388029117e-11,36,0.1586,0.0123,0.0319,1,0.31798245614035087
DEPDC1B,other,down,-0.975,8.586192411754912e-12,24,0.1057,0.0003,0.0305,1,0.3157894736842105
GDAP1,other,up,0.941,2.222607692884882e-12,21,0.0925,0.0057,0.0082,0,0.3135964912280702
MCRIP2,other,up,0.678,3.1282063659889518e-15,5,0.022,0.0,0.0058,0,0.3135964912280702
ADAMTS7,other,down,-0.926,1.3586756361810802e-11,25,0.1101,0.0025,0.0262,1,0.3092105263157895
TSSC4,other,up,0.683,4.1531343910468696e-11,29,0.1278,0.0025,0.0327,0,0.3048245614035088
IFT140,other,down,-0.664,3.143379671449855e-11,27,0.1189,0.0092,0.0332,1,0.3048245614035088
DGKH,other,up,1.06,8.470466346809495e-13,15,0.0661,0.0015,0.0052,0,0.3048245614035088
EPOR,other,down,-1.087,1.6737117978874788e-11,25,0.1101,0.0022,0.0238,1,0.30043859649122806
RAB3GAP2,other,up,0.53,5.229643773132407e-13,12,0.0529,0.002,0.0016,0,0.29605263157894735
PLAUR,other,up,0.57,1.39295853393305e-16,0,0.0,0.0,,-1,0.29385964912280704
SPEN,other,up,0.637,1.7689145234333237e-12,15,0.0661,0.0002,0.0094,0,0.2916666666666667
MAILR,other,up,1.159,1.4643739079837092e-16,0,0.0,0.0,,-1,0.2916666666666667
CHST14,other,down,-0.87,6.93839156569097e-11,29,0.1278,0.0033,0.0369,1,0.2883771929824561
TMSB15A,other,down,-1.609,8.151717187278238e-12,18,0.0793,0.0005,0.0183,1,0.2763157894736842
RUFY3,other,up,0.609,1.4573630552792176e-12,11,0.0485,0.0011,0.002,0,0.26096491228070173
MCM3AP,other,up,0.532,1.0748955721683272e-12,9,0.0396,0.0038,0.0007,0,0.26096491228070173
DDX55,RNA helicase,up,0.578,1.2994886280596205e-12,9,0.0396,0.0011,0.0014,0,0.2543859649122807
SRSF7,other,up,0.66,2.626223245949262e-13,5,0.022,0.0013,0.0018,0,0.25219298245614036
TMED5,other,up,0.57,1.3257794814019943e-14,1,0.0044,0.0,0.0005,0,0.25109649122807015
EXOSC3,other,up,0.588,1.401799975619642e-13,3,0.0132,0.0008,0.0015,0,0.23903508771929824
C1GALT1,other,up,0.558,3.6058133404687963e-12,7,0.0308,0.0002,0.0047,0,0.22478070175438597
PLEKHG2,other,up,0.501,4.2751820992518346e-13,2,0.0088,0.0,0.0,0,0.21710526315789472
ST20-AS1,other,up,1.13,1.2580935922388742e-10,20,0.0881,0.0004,0.0295,0,0.2017543859649123
C19ORF47,other,up,0.666,3.6058133404687963e-12,5,0.022,0.0007,0.0043,0,0.19846491228070173
POM121,other,up,0.515,2.3481794597133677e-12,5,0.022,0.0,0.0004,0,0.1929824561403509
ADCY3,other,up,0.524,1.0591921497225728e-11,8,0.0352,0.0024,0.0007,0,0.19298245614035087
MED10,other,up,0.552,6.679956198838307e-12,6,0.0264,0.0007,0.0028,0,0.1907894736842105
CLIP1,other,up,0.562,4.081565543438926e-11,12,0.0529,0.0001,0.0043,0,0.18640350877192982
CCZ1B,other,up,0.616,2.30267417019944e-12,2,0.0088,0.0004,0.0014,0,0.18421052631578946
HPGD,other,down,-2.365,3.17471766425086e-11,9,0.0396,0.0003,0.0077,1,0.17543859649122806
ZNF423,other,down,-1.294,1.1102380240308732e-10,16,0.0705,0.0088,0.016,1,0.1732456140350877
JAZF1,other,up,0.887,1.7754594369000466e-11,6,0.0264,0.0,0.0049,0,0.17105263157894737
SEC22C,other,up,0.546,8.670449261691105e-11,15,0.0661,0.0004,0.0091,0,0.16666666666666666
EMILIN2,other,up,1.05,6.3249217556534676e-12,2,0.0088,0.0,0.0003,0,0.16228070175438597
PHAX,other,up,0.524,1.7516558736154706e-11,6,0.0264,0.0,0.0016,0,0.1600877192982456
NAPG,other,up,0.585,6.443329001365979e-11,11,0.0485,0.0007,0.0038,0,0.1557017543859649
TRMT6,other,up,0.925,2.397951732956807e-10,17,0.0749,0.0167,0.0093,0,0.14692982456140352
MAPRE3,other,up,0.838,9.268398356692544e-11,10,0.0441,0.0001,0.0145,0,0.1469298245614035
TMEM163,other,up,2.631,6.564046076473349e-11,7,0.0308,0.0001,0.0058,0,0.1381578947368421
CHFR,other,up,0.817,7.962795160497785e-11,9,0.0396,0.0111,0.0031,0,0.13596491228070173
GSKIP,other,up,0.603,5.4384891388029117e-11,5,0.022,0.0,0.0069,0,0.12171052631578946
LLPH,other,up,0.548,4.242875526038511e-11,5,0.022,0.0002,0.0007,0,0.1162280701754386
SLC25A25,other,up,0.606,3.482923152408588e-11,4,0.0176,0.0004,0.0008,0,0.1162280701754386
TAF9,other,up,0.518,2.7000245396052268e-11,2,0.0088,0.0001,0.0001,0,0.11403508771929824
PKNOX1,other,up,0.576,9.746500538209152e-11,7,0.0308,0.0046,0.0018,0,0.1074561403508772
DOT1L,other,up,0.696,1.0271855493127318e-10,7,0.0308,0.0015,0.0004,0,0.09758771929824561
UTP20,other,up,0.592,7.46721677529713e-11,4,0.0176,0.0008,0.0003,0,0.08114035087719298
MTG1,other,up,0.79,1.1183367684635304e-10,1,0.0044,0.0,0.0003,0,0.03289473684210526
USP45,other,up,0.677,1.112021048321324e-10,0,0.0,0.0,,-1,0.02631578947368421
PTS,other,up,0.85,1.8515881170249679e-10,0,0.0,0.0,,-1,0.017543859649122806
