gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
GNL3,GNL3,467.530449166875,1.02158639068164,0.304215978306424,3.35809577251276,0.0007848141600619,0.0705919683971529,False,False
LOC119626146,LOC119626146,105.434297601613,1.14403311698982,0.340551857570401,3.35935068788551,0.0007812585670122,0.0705919683971529,False,False
MAT2A,MAT2A,1578.65299211295,0.961941927350307,0.28589221491864,3.36470137049398,0.0007662654557002,0.0705919683971529,False,False
HIST4H4,HIST4H4,201.834276397784,-1.06956304493311,0.318493102832933,-3.35819845208438,0.0007845226714025,0.0705919683971529,False,False
TRNT1,TRNT1,182.383497060084,0.84260675514179,0.251971043495665,3.34406185509284,0.0008256132728793,0.0732502099451454,False,False
LOC103222001,LOC103222001,357.756808923754,-0.933228632709237,0.279155550481908,-3.34304165221934,0.0008286546083125,0.0732502099451454,False,False
H1-2,H1-2,1392.73060767097,-0.865630418293758,0.261174933690317,-3.31437020414892,0.0009184981172937,0.079145207518739,False,False
WDR76,WDR76,299.501563143833,0.949171903979272,0.286292750422695,3.31538923908437,0.0009151559930303,0.079145207518739,False,False
ELL2,ELL2,326.976409093015,0.979699824112765,0.295361564725253,3.31695095475299,0.0009100559045384,0.079145207518739,False,False
RGS14,RGS14,274.339696112978,-0.968882437110475,0.292871804611047,-3.30821342941228,0.0009389322357121,0.0802317595416062,False,False
LOC119619890,LOC119619890,84.4277145009688,-1.86662716447369,0.564745832630272,-3.3052517727842,0.0009489111679359,0.0804143398017751,False,False
DTL,DTL,237.408739021798,0.982756704769879,0.297578196832743,3.30251582686432,0.0009582168033115,0.0805373368947231,False,False
RETREG3,RETREG3,427.434186659964,-0.584166797648738,0.177020604939491,-3.29999322874542,0.0009668716129338,0.080604077390435,False,False
MYC,MYC,636.85089733732,0.865898398752354,0.262942408031551,3.29311047706102,0.0009908553233995,0.0819373426301565,False,False
PTPRE,PTPRE,150.332308278118,1.28876238103483,0.393252598542234,3.27718719675904,0.0010484683179272,0.0853253502541713,False,False
GTPBP4,GTPBP4,582.339831361182,1.00239016824624,0.305784271582179,3.27809590421282,0.0010450988153671,0.0853253502541713,False,False
XRCC1,XRCC1,298.396087960323,-0.75769007669543,0.231963605170376,-3.26641791990994,0.0010891737754966,0.0879400621570314,False,False
KLHL24,KLHL24,266.946889008231,-1.11087151625553,0.341064026427211,-3.25707617977883,0.0011256621831208,0.0901760939509475,False,False
LOC103222003,LOC103222003,1016.26804705952,-0.979250464429802,0.302153557866038,-3.24090330541122,0.0011915159289319,0.0932656819486126,False,False
INHBA,INHBA,1686.54372571724,1.16590300882307,0.35956960489645,3.24249600896835,0.0011848760779529,0.0932656819486126,False,False
ZNF121,ZNF121,192.400321988761,0.842146942513533,0.259509280135111,3.24515154939769,0.0011738813206032,0.0932656819486126,False,False
CALM3,CALM3,1487.15734207233,-0.610816801167486,0.188994645593152,-3.2319264879196,0.0012295868386387,0.0955165412378922,False,False
HIST2H2AC,HIST2H2AC,781.478286345597,-0.844656425715863,0.261615375495476,-3.22861920525948,0.0012438940513876,0.0959014255859331,False,False
LOC103221968,LOC103221968,895.95633757482,-0.812066551500563,0.251914717643869,-3.22357724509204,0.0012660014855747,0.0968774569633087,False,False
ARL13B,ARL13B,381.268696038391,0.99922939774281,0.310863478219458,3.214367295464,0.0013073232835144,0.0991377363615276,False,False
H2AFY2,H2AFY2,232.678813351966,-0.610771649458809,0.190110856369717,-3.21271315653334,0.0013148753798681,0.0991377363615276,False,False
WDR3,WDR3,318.984200138166,0.988070438580689,0.308335291267717,3.20453242481018,0.0013528205163241,0.0997972775135797,False,False
PAG1,PAG1,209.537874089094,0.732555738479709,0.228482044104593,3.20618515713368,0.0013450740842144,0.0997972775135797,False,False
LOC103221948,LOC103221948,328.761007458528,-0.978781601779142,0.305278444928347,-3.20619296265374,0.0013450375966695,0.0997972775135797,False,False
UTP20,UTP20,965.307486318974,0.65757329665118,0.206131057466108,3.19007385269586,0.001422364404811,0.101284198659255,False,False
POLR1F,POLR1F,201.402413273006,0.740071052788981,0.231933083679466,3.1908817881789,0.0014183930124921,0.101284198659255,False,False
LOC103221997,LOC103221997,444.261345365232,-1.11253089194549,0.348480847912067,-3.1925166005858,0.0014103883743807,0.101284198659255,False,False
SMTNL2,SMTNL2,93.2737698580156,-1.37304798734598,0.430092637571133,-3.19244708558605,0.0014107278955577,0.101284198659255,False,False
