gene_symbol,NTC,N4BP1,ZC3H12A,TRIM25,ZC3H12A_N4BP1,mean_log2FoldChange,direction_consistency
RPL35P1,-0.2803969603060204,0.18235563892272144,0.5093430290517781,0.5269424032346596,,0.2345610277257847,0.75
DDX55,0.6731133740324224,-0.275181539940812,0.44416156550339614,0.22630729209096115,0.0660348261736598,0.22688710357192554,0.8
DHX16,0.5743278015029083,0.1308592669345992,0.2025967123795374,0.21638858364275274,-0.03891127850113177,0.21705221719173315,0.8
RPL35P5,0.7631411382091701,-0.3536916246370748,-0.9118019971961945,1.4323782218808518,0.15308978047637398,0.2166231037466253,0.6
RPL12P12,0.21455356325670835,,,,,0.21455356325670835,1.0
DDX51,0.4061344574809937,-0.04755363083914791,0.34431926231317533,0.2969350573707406,0.07108149154652621,0.21418332757445757,0.8
EIF2A,0.5979152256485707,-0.019026686222958097,0.24044796034884136,0.07244840421598368,0.1504015826270223,0.20843729732349195,0.8
RPL17-C18orf32,,,-0.6744859549352176,0.13429432947251282,1.1540911849640634,0.2046331865004529,0.6666666666666666
DHX8,0.36272300646749506,0.20504321960272298,0.19465072850118295,0.12941706255765387,0.09469463974454502,0.19730573137472,1.0
EIF2AK1,0.3456111962416834,0.12016697292160239,0.17213917362243805,0.20475496083467695,0.13490645417027397,0.19551575155813494,1.0
DDX5,0.3298224377201953,0.09903710407333172,0.17888892160296563,0.22234215921439174,0.10400152973833794,0.18681843046984448,1.0
EIF3D,0.4952764590804292,0.05535843162533199,0.12699261268013126,0.10513647786832618,0.1413252799058622,0.18481785223201616,1.0
RPS10,0.5574711354768945,-0.27748640752562714,0.19862280011482675,0.23698617960883567,0.2002340845560079,0.18316555844618754,0.8
EIF2B4,0.4527178606169166,0.037435861772954694,0.17701303489953077,0.28585090959683934,-0.04476462408646527,0.18165060855995524,0.8
RPL32P11,-0.38029435520713434,,,0.7400504603080557,,0.17987805255046066,0.5
DDX6,0.253919325745612,0.11042604815169543,0.13641872528743013,0.21270050866488913,0.177707805881193,0.17823448274616394,1.0
EIF3K,0.4593538492453522,0.21047924785000943,0.14954929779390536,0.1349905539729965,-0.06935123855071913,0.1770043420623089,0.8
RPL39L,0.19134761902279018,0.25498693535738504,0.023506871832130006,0.497332252918399,-0.10615940584742614,0.1722028546566556,0.8
RPSAP54,0.8822937761852323,,,-0.5556765475001392,,0.16330861434254657,0.5
